[2022-04-28T22:06:48]  El campista N12 ha llegado al campamento
[2022-04-28T22:06:48]  El campista N12 se sitúa en la entrada B
[2022-04-28T22:06:48]  El campista N12 ha entrado (B) dentro del campamento
[2022-04-28T22:06:48]  El campista N12 elige competir en la soga
[2022-04-28T22:06:48]  El campista N12 no ha podido competir en la soga porque no hay hueco
[2022-04-28T22:06:48]  El campista N12 elige competir en la soga
[2022-04-28T22:06:48]  El campista N12 no ha podido competir en la soga porque no hay hueco
[2022-04-28T22:06:48]  El campista N12 elige competir en la soga
[2022-04-28T22:06:48]  El campista N12 no ha podido competir en la soga porque no hay hueco
[2022-04-28T22:06:48]  El campista N12 elige competir en la soga
[2022-04-28T22:06:48]  El campista N12 no ha podido competir en la soga porque no hay hueco
[2022-04-28T22:06:48]  El campista N12 elige tirarse por la tirolina
[2022-04-28T22:06:48]  El campista N12 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:48]  El monitor M2 prepara a un campista
[2022-04-28T22:06:48]  El monitor M3 ha preparado la merienda Bandeja15
[2022-04-28T22:06:48]  El monitor M3 empieza a preparar la merienda Bandeja17
[2022-04-28T22:06:49]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:49]  El campista N12 se tira por la tirolina!
[2022-04-28T22:06:50]  El monitor M1 ha preparado la merienda Bandeja16
[2022-04-28T22:06:50]  El monitor M1 empieza a preparar la merienda Bandeja18
[2022-04-28T22:06:50]  El campista N8 sale de la zona común
[2022-04-28T22:06:50]  El campista N8 se dispone a merendar
[2022-04-28T22:06:50]  El campista N8 coge la merienda Bandeja2
[2022-04-28T22:06:51]  El campista N13 ha llegado al campamento
[2022-04-28T22:06:51]  El campista N13 se sitúa en la entrada A
[2022-04-28T22:06:51]  El campista N13 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:51]  El campista N13 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:51]  El campista N13 elige competir en la soga
[2022-04-28T22:06:51]  El campista N13 no ha podido competir en la soga porque no hay hueco
[2022-04-28T22:06:51]  El campista N13 elige tirarse por la tirolina
[2022-04-28T22:06:51]  El campista N13 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:52]  El campista N12 se baja de la tirolina
[2022-04-28T22:06:52]  El campista N12 descansa en la zona común
[2022-04-28T22:06:52]  El monitor M2 prepara a un campista
[2022-04-28T22:06:53]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:53]  El campista N13 se tira por la tirolina!
[2022-04-28T22:06:53]  VICTORIA del equipo B: N9, N4, N7, N2, N5
[2022-04-28T22:06:53]  El campista N3 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N3 descansa en la zona común
[2022-04-28T22:06:53]  El campista N6 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N6 descansa en la zona común
[2022-04-28T22:06:53]  El campista N5 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N5 descansa en la zona común
[2022-04-28T22:06:53]  El campista N7 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N7 descansa en la zona común
[2022-04-28T22:06:53]  El campista N2 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N2 descansa en la zona común
[2022-04-28T22:06:53]  El campista N10 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N10 descansa en la zona común
[2022-04-28T22:06:53]  El campista N1 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N1 descansa en la zona común
[2022-04-28T22:06:53]  El campista N4 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N4 descansa en la zona común
[2022-04-28T22:06:53]  El campista N9 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N9 descansa en la zona común
[2022-04-28T22:06:53]  El campista N11 abandona la actividad de soga
[2022-04-28T22:06:53]  El campista N11 descansa en la zona común
[2022-04-28T22:06:53]  El monitor M4 espera campistas en la soga
[2022-04-28T22:06:54]  El monitor M3 ha preparado la merienda Bandeja17
[2022-04-28T22:06:54]  El monitor M3 empieza a preparar la merienda Bandeja19
[2022-04-28T22:06:55]  El monitor M1 ha preparado la merienda Bandeja18
[2022-04-28T22:06:55]  El monitor M1 empieza a preparar la merienda Bandeja20
[2022-04-28T22:06:56]  El campista N14 ha llegado al campamento
[2022-04-28T22:06:56]  El campista N14 se sitúa en la entrada B
[2022-04-28T22:06:56]  El campista N14 ha entrado (B) dentro del campamento
[2022-04-28T22:06:56]  El campista N14 elige competir en la soga
[2022-04-28T22:06:56]  El campista N14 espera para competir en la soga
[2022-04-28T22:06:57]  El campista N13 se baja de la tirolina
[2022-04-28T22:06:57]  El campista N13 descansa en la zona común
[2022-04-28T22:06:57]  El campista N8 deja la bandeja Bandeja2
[2022-04-28T22:06:57]  El campista N8 descansa en la zona común
[2022-04-28T22:06:58]  El campista N6 sale de la zona común
[2022-04-28T22:06:58]  El campista N6 elige competir en la soga
[2022-04-28T22:06:58]  El campista N6 espera para competir en la soga
[2022-04-28T22:06:58]  El campista N11 sale de la zona común
[2022-04-28T22:06:58]  El campista N11 elige tirarse por la tirolina
[2022-04-28T22:06:58]  El campista N11 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:58]  El monitor M2 prepara a un campista
[2022-04-28T22:06:58]  El campista N3 sale de la zona común
[2022-04-28T22:06:58]  El campista N3 elige competir en la soga
[2022-04-28T22:06:58]  El campista N3 espera para competir en la soga
[2022-04-28T22:06:58]  El campista N7 sale de la zona común
[2022-04-28T22:06:58]  El campista N7 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:58]  El campista N7 elige competir en la soga
[2022-04-28T22:06:58]  El campista N7 espera para competir en la soga
[2022-04-28T22:06:58]  El campista N1 sale de la zona común
[2022-04-28T22:06:58]  El campista N1 elige competir en la soga
[2022-04-28T22:06:58]  El campista N1 espera para competir en la soga
[2022-04-28T22:06:58]  El campista N2 sale de la zona común
[2022-04-28T22:06:58]  El campista N2 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:58]  El campista N2 elige competir en la soga
[2022-04-28T22:06:58]  El campista N2 espera para competir en la soga
[2022-04-28T22:06:58]  El campista N12 sale de la zona común
[2022-04-28T22:06:58]  El campista N12 elige tirarse por la tirolina
[2022-04-28T22:06:58]  El campista N12 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:59]  El campista N4 sale de la zona común
[2022-04-28T22:06:59]  El campista N4 elige competir en la soga
[2022-04-28T22:06:59]  El campista N4 espera para competir en la soga
[2022-04-28T22:06:59]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:59]  El campista N11 se tira por la tirolina!
[2022-04-28T22:06:59]  El monitor M2 ha lanzado a 10 campistas y se marcha de la tirolina
[2022-04-28T22:06:59]  El monitor M2 descansa en la zona común
[2022-04-28T22:06:59]  El campista N5 sale de la zona común
[2022-04-28T22:06:59]  El campista N5 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:59]  El campista N5 elige competir en la soga
[2022-04-28T22:06:59]  El campista N5 espera para competir en la soga
[2022-04-28T22:06:59]  El campista N9 sale de la zona común
[2022-04-28T22:06:59]  El campista N9 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:59]  El campista N9 elige competir en la soga
[2022-04-28T22:06:59]  El campista N9 espera para competir en la soga
[2022-04-28T22:06:59]  El campista N10 sale de la zona común
[2022-04-28T22:06:59]  El campista N10 elige tirarse por la tirolina
[2022-04-28T22:06:59]  El campista N10 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:59]  El campista N15 ha llegado al campamento
[2022-04-28T22:06:59]  El campista N15 se sitúa en la entrada B
[2022-04-28T22:06:59]  El campista N15 ha entrado (B) dentro del campamento
[2022-04-28T22:06:59]  El campista N15 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:59]  El campista N15 elige competir en la soga
[2022-04-28T22:06:59]  El campista N15 espera para competir en la soga
[2022-04-28T22:06:59]  	------EQUIPOS SOGA------	
EQUIPO A: N14, N15, N1, N2, N7
EQUIPO B: N6, N9, N5, N4, N3
	------------------------	

[2022-04-28T22:06:59]  El campista N15 tira de la soga!
[2022-04-28T22:06:59]  El campista N14 tira de la soga!
[2022-04-28T22:06:59]  El campista N6 tira de la soga!
[2022-04-28T22:06:59]  El campista N3 tira de la soga!
[2022-04-28T22:06:59]  El campista N7 tira de la soga!
[2022-04-28T22:06:59]  El campista N2 tira de la soga!
[2022-04-28T22:06:59]  El campista N1 tira de la soga!
[2022-04-28T22:06:59]  El campista N5 tira de la soga!
[2022-04-28T22:06:59]  El campista N9 tira de la soga!
[2022-04-28T22:06:59]  El campista N4 tira de la soga!
[2022-04-28T22:07]  El monitor M1 ha preparado la merienda Bandeja20
[2022-04-28T22:07]  El monitor M1 se va del merendero
[2022-04-28T22:07]  El monitor M1 descansa en la zona común
[2022-04-28T22:07]  El monitor M3 ha preparado la merienda Bandeja19
[2022-04-28T22:07]  El monitor M3 se va del merendero
[2022-04-28T22:07]  El monitor M3 descansa en la zona común
[2022-04-28T22:07:01]  El campista N13 sale de la zona común
[2022-04-28T22:07:01]  El campista N13 elige tirarse por la tirolina
[2022-04-28T22:07:01]  El campista N13 se ha puesto a la cola de la tirolina
[2022-04-28T22:07:02]  El monitor M2 sale de la zona común
[2022-04-28T22:07:02]  El monitor M2 llega a la tirolina
[2022-04-28T22:07:02]  El campista N8 sale de la zona común
[2022-04-28T22:07:02]  El campista N8 se dispone a merendar
[2022-04-28T22:07:02]  El campista N8 coge la merienda Bandeja1
[2022-04-28T22:07:02]  El campista N11 se baja de la tirolina
[2022-04-28T22:07:02]  El campista N11 descansa en la zona común
[2022-04-28T22:07:02]  El monitor M2 prepara a un campista
[2022-04-28T22:07:03]  El monitor M1 sale de la zona común
[2022-04-28T22:07:03]  El monitor M1 va a preparar meriendas
[2022-04-28T22:07:03]  El monitor M1 empieza a preparar la merienda Bandeja21
[2022-04-28T22:07:03]  El campista N16 ha llegado al campamento
[2022-04-28T22:07:03]  El campista N16 se sitúa en la entrada B
[2022-04-28T22:07:03]  El campista N16 ha entrado (B) dentro del campamento
[2022-04-28T22:07:03]  El campista N16 elige tirarse por la tirolina
[2022-04-28T22:07:03]  El campista N16 se ha puesto a la cola de la tirolina
[2022-04-28T22:07:03]  El monitor M3 sale de la zona común
[2022-04-28T22:07:03]  El monitor M3 va a preparar meriendas
[2022-04-28T22:07:03]  El monitor M3 empieza a preparar la merienda Bandeja22
[2022-04-28T22:07:03]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:07:03]  El campista N12 se tira por la tirolina!
[2022-04-28T22:07:06]  VICTORIA del equipo B: N6, N9, N5, N4, N3
[2022-04-28T22:07:06]  El campista N9 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N9 descansa en la zona común
[2022-04-28T22:07:06]  El campista N7 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N7 descansa en la zona común
[2022-04-28T22:07:06]  El campista N3 abandona la actividad de soga
